sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T09:50:52.720Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T09:51:00.104Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.104Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.111Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.111Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.111Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.111Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.138Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.138Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.138Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.138Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.143Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.143Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.156Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.156Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.156Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.156Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.162Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.162Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.162Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.162Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.174Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.174Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.174Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.174Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.184Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.184Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.203Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.216Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.221Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.221Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.221Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.221Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.231Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.231Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.231Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.231Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.258Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.258Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.258Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.258Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.271Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.271Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.271Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.271Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.274Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.274Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.274Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.274Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.288Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.288Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.288Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.288Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.309Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.309Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.309Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.309Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.317Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.317Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T09:51:00.319Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.349Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.349Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.349Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.349Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.358Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.358Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.358Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.358Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.362Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.362Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.373Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.379Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.380Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.380Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.380Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.418Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.418Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.418Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.418Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.424Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.424Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.424Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.424Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.431Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.431Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.436Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.436Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.501Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.501Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.504Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.504Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.504Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.504Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.511Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.514Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.514Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.592Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.592Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.592Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.592Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.608Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.615Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.615Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.615Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.615Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.618Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.618Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.629Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.630Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.630Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.633Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.633Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.633Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.633Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.635Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.635Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.635Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.635Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.642Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.642Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.679Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.679Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.679Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.679Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.682Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.682Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.682Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.682Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.715Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.720Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.720Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:00.735Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.738Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.738Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.738Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.738Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.751Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.759Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.759Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.759Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.759Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.773Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.773Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.773Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.773Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.777Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.800Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.800Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.801Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.801Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.864Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.864Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.864Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.864Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.885Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.896Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.896Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.918Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.943Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.943Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.943Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.943Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.973Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.989Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.989Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.989Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.989Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.024Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.025Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.025Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.025Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.040Z	info	staff-logger	scenario/viewer.go:90	get livestream stats
2026-09-22T09:51:01.074Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.075Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:01.075Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.075Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.075Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.075Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.082Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.082Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.082Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.082Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.086Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.090Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:01.091Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.091Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.091Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.091Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.100Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.100Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.100Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.100Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.102Z	info	staff-logger	scenario/viewer.go:90	get livestream stats
2026-09-22T09:51:01.109Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.110Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.110Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.110Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.120Z	info	staff-logger	scenario/viewer.go:90	get livestream stats
2026-09-22T09:51:01.134Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.134Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.134Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.134Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.151Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.151Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.151Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.151Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.171Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.172Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.172Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:51:01.179Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.179Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.179Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.179Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.188Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.220Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:01.221Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:01.221Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:01.221Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:01.230Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:01.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
